"timestep","value"
"2016-1-1",6.75
"2016-1-2",6.54
"2016-1-3",6.84
"2016-1-4",6.45
"2016-1-5",6.22
"2016-1-6",6.31
"2016-1-7",5.76
"2016-1-8",6.13
"2016-1-9",6.46
"2016-1-10",6.74
"2016-1-11",6
"2016-1-12",5.24
"2016-1-13",6.12
"2016-1-14",6.38
"2016-1-15",6.2
"2016-1-16",6.27
"2016-1-17",6.31
"2016-1-18",6.26
"2016-1-19",5.9
"2016-1-20",5.87
"2016-1-21",6.18
"2016-1-22",6.36
"2016-1-23",6.7
"2016-1-24",6.55
"2016-1-25",6.37
"2016-1-26",6.36
"2016-1-27",6.25
"2016-1-28",6.39
"2016-1-29",6.29
"2016-1-30",6.75
"2016-1-31",6.61
"2016-2-1",6.22
"2016-2-2",6.26
"2016-2-3",6.34
"2016-2-4",6.19
"2016-2-5",6.54
"2016-2-6",6.47
"2016-2-7",6.78
"2016-2-8",6.69
"2016-2-9",6.45
"2016-2-10",6.41
"2016-2-11",5.77
"2016-2-12",5.83
"2016-2-13",6.05
"2016-2-14",6.03
"2016-2-15",5.72
"2016-2-16",6.07
"2016-2-17",5.95
"2016-2-18",6.11
"2016-2-19",5.69
"2016-2-20",7.21
"2016-2-21",6.1
"2016-2-22",6.16
"2016-2-23",7.07
"2016-2-24",5.84
"2016-2-25",6.4
"2016-2-26",6.13
"2016-2-27",6.28
"2016-2-28",6.52
"2016-2-29",6.05
"2016-3-1",6.51
"2016-3-2",6.59
"2016-3-3",3.8
"2016-3-4",6.51
"2016-3-5",6.35
"2016-3-6",6.55
"2016-3-7",5.92
"2016-3-8",6.12
"2016-3-9",6.04
"2016-3-10",6.95
"2016-3-11",6.54
"2016-3-12",6.67
"2016-3-13",6.89
"2016-3-14",6.34
"2016-3-15",6.47
"2016-3-16",6.42
"2016-3-17",6.14
"2016-3-18",6.26
"2016-3-19",6.67
"2016-3-20",6.58
"2016-3-21",6.18
"2016-3-22",5.64
"2016-3-23",6.52
"2016-3-24",6.57
"2016-3-25",6.72
"2016-3-26",6.49
"2016-3-27",6.38
"2016-3-28",6.36
"2016-3-29",5.9
"2016-3-30",5.51
"2016-3-31",6.06
"2016-4-1",6.05
"2016-4-2",6.35
"2016-4-3",6.35
"2016-4-4",6.03
"2016-4-5",5.95
"2016-4-6",5.72
"2016-4-7",5.98
"2016-4-8",6.3
"2016-4-9",6.56
"2016-4-10",6.4
"2016-4-11",5.99
"2016-4-12",5.91
"2016-4-13",5.89
"2016-4-14",5.97
"2016-4-15",5.11
"2016-4-16",5.77
"2016-4-17",5.97
"2016-4-18",5.87
"2016-4-19",5.84
"2016-4-20",5.93
"2016-4-21",6.32
"2016-4-22",5.37
"2016-4-23",5.9
